,상호명,별점,주소,카테고리,이미지,거리
16,회뜨는중 강서구청점,0.0,서울 강서구 공항대로46길 90 1층,['생선회'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230928_65%2F1695891361896pl4y7_JPEG%2FKakaoTalk_20230907_011051495.jpg,1396
17,정육식당 한우포차 화곡역점,4.5,서울 강서구 화곡로 195,"['육류', '고기요리']",,154
18,진부령황태촌,4.37,서울 강서구 강서로 148,['한식'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230531_150%2F1685520804417tP2jP_JPEG%2FIMG_9761.JPG,240
19,맛거리,4.39,서울 강서구 화곡로25길 8 경서빌딩 1층,['요리주점'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_139%2F1612782847963jbQrp_JPEG%2FNp9rD7OvoykNon9xD_ja30eC.jpg,276
20,계원집,0.0,서울 강서구 초록마을로4길 2 1층,['닭요리'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250217_203%2F1739799903611cEeJk_JPEG%2F1000050589.jpg,444
21,우장산소갈비 화곡본점,0.0,"서울 강서구 강서로45다길 68 101호, 102호",['소고기구이'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250519_31%2F1747584914000jywgN_JPEG%2F1000005653.jpg,632
22,남춘네숯불닭갈비 화곡역직영점,0.0,서울 강서구 강서로33길 20 1층 101호,['닭갈비'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230818_132%2F1692344450713sGxuz_JPEG%2FIMG_2740.jpeg,235
23,충북식당,4.39,서울 강서구 강서로45가길 9,['한식'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160203_161%2F1454485133306bdfQd_JPEG%2F176153566872314_0.jpg,767
24,화곡맛있고등어,0.0,서울 강서구 화곡로 138 1층 화곡맛있고등어,['생선구이'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241017_138%2F1729147837289e76gX_JPEG%2F%25B0%25ED%25B5%25EE%25BE%25EE_%25B4%25EB%25B9%25AE%25BB%25E7%25C1%25F8_%25BB%25EC%25C2%25A6_%25C5%25AB%25B0%25C5.jpg,423
25,잉치킨 우장산직영점,0.0,"서울 강서구 강서로45가길 47 1층 101호, 102호","['치킨', '닭강정']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250411_41%2F174436989996141y3G_PNG%2F6DE941D7-1F07-4674-AD5A-ED244B895F08.png,629
26,맥도날드 우장산DT점,4.33,서울 강서구 강서로 216 우장산 맥도날드,['햄버거'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190226_64%2F1551140722910zVwok_JPEG%2Fshj_67cJvvxgPhdrw5VDcd3U.jpg,461
27,이현우스시,4.7,서울 강서구 강서로33길 26,"['초밥', '롤']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220214_44%2F16448005261821xRTC_JPEG%2F%25C7%25D1%25BB%25F3%25C2%25F7%25B8%25B201.jpg,264
28,양촌리 화곡점,0.0,서울 강서구 화곡로 109,"['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240411_33%2F1712814685305bEnXE_JPEG%2FDSC00392.jpg,694
29,1982논현황소곱창 본점,0.0,서울 강서구 초록마을로 8 1층,"['곱창', '막창', '양']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20240808_255%2F1723085478184f6yDG_JPEG%2Fimage.jpg,435
30,화곡정육식당,0.0,서울 강서구 화곡로 132,['정육식당'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230425_244%2F1682412598331v3M6i_JPEG%2F20230425_174410.jpg,471
31,동래정 화곡점,0.0,서울 강서구 화곡로31길 79 1층 101~103호,"['육류', '고기요리']",,298
32,스타벅스 까치산역점,4.54,서울 강서구 강서로13길 3 (화곡동),['카페'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,1188
33,고기싸롱 화곡역점,0.0,서울 강서구 화곡로 117-1 1층 고기싸롱 화곡역점,"['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231006_140%2F1696553532910HBTtp_JPEG%2FKakaoTalk_20231005_172917533_1.jpg,603
34,다채우렁돌솥쌈밥,4.32,서울 강서구 화곡로20길 12 1층 다채,['한식'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250508_134%2F1746693927723i5AS8_JPEG%2F1000005764.jpg,514
35,크리스피크림도넛 화곡역점,4.46,서울 강서구 화곡로 152,['도넛'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250425_149%2F1745563180111hbFbF_JPEG%2F250404_%25C6%25F7%25C4%25CF%25B8%25F3_%25B3%25D7%25C0%25CC%25B9%25F6.jpg,281
36,뎁트 커피,0.0,서울 강서구 화곡로53길 13 1층 카페 뎁트,"['카페', '디저트']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241115_33%2F1731652951786kTmve_JPEG%2FIMG_4126.jpeg,1165
37,마장동김씨 우장산역점,0.0,"서울 강서구 강서로 231 130, 131, 136, 137호","['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240921_61%2F1726916465422GbpMd_JPEG%2FIMG_9553.jpeg,632
38,다이닝갈비 화곡점,0.0,서울 강서구 강서로33길 12 2층 다이닝갈비,"['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250418_111%2F1744963597049WYvrd_PNG%2F1000020625.png,200
39,브라운씨 2호점,0.0,서울 강서구 강서로47가길 33 덕산빌딩 104호 브라운씨 카페,"['카페', '디저트']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240924_242%2F1727177956980W5VFC_JPEG%2FIMG_1639.JPG,1093
40,헤라클래스,4.37,서울 강서구 화곡로 194-48,"['맥주', '호프']",,169
41,리연탄 강서화곡본점,0.0,서울 강서구 강서로39길 13 1층,"['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231103_283%2F1698986266593EkqUE_JPEG%2F2023_10_14_%252815%2529.jpg,433
42,고기싸롱 강서구청점,0.0,서울 강서구 화곡로 230 1층 101호,"['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230806_249%2F1691323671034YRWP2_JPEG%2FIMG_0530.jpeg,496
43,본가백구오리불고기,4.45,서울 강서구 강서로17길 40,['오리요리'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_258%2F1441050328808ckcbJ_JPEG%2FSUBMIT_1276520549249_11833953.jpg,1078
44,스타벅스 화곡역8번출구점,0.0,"서울 강서구 강서로 179 (화곡동), 1층 일부",['카페'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,174
45,니코니코라멘,0.0,서울 강서구 가로공원로 173 1층 니코니코라멘,['일본식라면'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250305_211%2F1741147307382d9GYL_JPEG%2F234F0EF8-46D5-4BFA-9735-85AE7E7F8315.jpeg,780
46,남도술상 우장산역점,0.0,"서울 강서구 강서로 237 1층 17호, 18호",['요리주점'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240801_210%2F1722495135254lWLqq_PNG%2F%25BD%25BA%25C5%25A9%25B8%25B0%25BC%25A6_2024-08-01_155138.png,696
47,금화왕돈까스 신월점,4.41,서울 양천구 화곡로 91,['돈가스'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200821_238%2F1597986084412Hoz2T_PNG%2F4_hnxqoBEs6qn466oFCAgvIE.png,853
48,이디야 화곡로점,4.37,서울 강서구 화곡로 133 삼정빌딩,['카페'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250522_144%2F1747872056419kUKbV_JPEG%2FSNS%25B1%25E2%25C5%25B8_25_%25BB%25FD%25B0%25FA%25C0%25CF_%25B3%25D7%25C0%25CC%25B9%25F6%25C3%25A4%25B3%25CE.jpg,454
49,지지고 내발산점,0.0,서울 강서구 강서로 263-27 1층,"['도시락', '컵밥']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250103_252%2F1735893647686zoWmI_PNG%2F%25C1%25F6%25C1%25F6%25B0%25ED_%25B7%25CE%25B0%25ED.png,971
50,김희라 한국식왕돈까스,4.35,서울 강서구 강서로 201 1층 김희라돈까스,['일식당'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231205_32%2F1701760933474bLlpa_PNG%2FIMG_1785.png,348
51,투썸플레이스 화곡역점,4.45,서울 강서구 강서로 163,['카페'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240424_46%2F1713940438912PCrWT_JPEG%2FIMG_2878.jpeg,149
52,토속촌생면칼국수 본점,4.35,서울 강서구 강서로16길 13,['한식'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220403_198%2F1648973170685iCVm7_JPEG%2FScreenshot_20220403-170414_NAVER.jpg,1156
53,명륜진사갈비 서울우장산역점,0.0,서울 강서구 강서로 219 1층,"['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231229_123%2F1703828583169JMRPQ_JPEG%2FKakaoTalk_20231228_172116193_04.jpg,526
54,취링취링 화곡역 본점,0.0,서울 강서구 화곡로 127 나동 1층,['요리주점'],,503
55,두끼 화곡점,4.32,서울 강서구 화곡로 160 2층,['분식'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231025_125%2F1698201131801J9T9z_PNG%2F%25B4%25EB%25C7%25A5%25C0%25CC%25B9%25CC%25C1%25F6_%25281%2529.png,207
56,마늘막창구이가떴다,4.58,서울 강서구 강서로17길 140,"['곱창', '막창', '양']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181220_127%2F1545301607234wUPFQ_JPEG%2FVYgW_sIwdoHqr8qYdkuS0nLa.jpg,1180
57,금수돈가,0.0,서울 강서구 까치산로 86 102동 1층 103호,['돈가스'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240226_8%2F1708938386311f4JcQ_JPEG%2F%25B1%25DD%25BC%25F6%25B5%25B7%25B0%25A1_%25B8%25F0%25C0%25BD.jpg,702
58,본순대국,4.34,서울 강서구 강서로18길 20 삼경빌딩,"['순대', '순댓국']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220925_17%2F1664089392643VDQ7H_JPEG%2F20220925_090909.jpg,1068
59,롯데리아 화곡역점,4.39,서울 강서구 화곡로 157 1층 롯데리아,['햄버거'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240923_185%2F1727052511572Vxuh6_JPEG%2F1.jpg,208
60,엘포엘 강서 화곡역 본점,0.0,"서울 강서구 화곡로27가길 34 1층, 2층",['양식'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250321_245%2F1742534345834toRaO_JPEG%2F3B24A8F5-AF98-40F6-A80F-93790CAD4102.jpeg,132
61,버거킹 화곡역점,0.0,서울 강서구 화곡로 146 1층,['햄버거'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220310_199%2F1646872881676OXCzK_JPEG%2F%25C8%25AD%25B0%25EE1.JPG,346
62,수백당 우장산역점,0.0,서울 강서구 강서로 231 해링턴타워 1층 132호~135호,"['순대', '순댓국']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240424_163%2F1713937665005H9nNt_JPEG%2F%25B7%25CE%25B0%25ED%25C6%25ED%25C1%25FD_%25C0%25FC%25B0%25F1_DSC01663.jpg,632
63,미분당 화곡점,4.53,서울 강서구 화곡로26길 11 1층,['베트남음식'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210925_295%2F1632571285030dl8g7_JPEG%2FsRGh-JE729UjXBcv__Asud0M.jpg,187
64,버거리 우장산역점,0.0,서울 강서구 강서로 231 해링턴타워 108호,['햄버거'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250421_232%2F1745211306404aC4nb_PNG%2F%25B3%25D7%25C0%25CC%25B9%25F6%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA_%25C8%25F7%25B9%25E4_01.png,632
65,범식당 까치산본점,0.0,서울 강서구 강서로18가길 6 1층 범식당,"['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231228_282%2F1703693226280sAXIK_JPEG%2F1000010605.jpg,1026
66,최덕화돈까스,0.0,"서울 강서구 강서로 231 1층 139, 144호",['일식당'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250301_51%2F1740809092555GWU0H_PNG%2FKakaoTalk_20250301_150404465_01.png,632
67,우장회관 화곡본동점,0.0,서울 강서구 초록마을로 10 1층,"['육류', '고기요리']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250406_183%2F17439472781292qusL_JPEG%2FKakaoTalk_20250305_153651513_15.jpg,434
68,롤링파스타 화곡역점,0.0,서울 강서구 화곡로 166 화수빌딩 2층,"['스파게티', '파스타전문']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250516_292%2F1747360214413pgPgW_PNG%2F%25B4%25F5%25BA%25BB%25C5%25EB%25C7%25D5%25C7%25D2%25C0%25CE%25C0%25FC_%25C0%25FC%25BB%25E7_%25BA%25BB%25BA%25CE_%25C0%25FC%25BE%25D7_%25C1%25F6%25BF%25F8_%25B7%25D1%25B8%25B5%25C6%25C4%25BD%25BA%25C5%25B8_%25C6%25F7%25BD%25BA%25C5%25CD_1_25.05.png,153
69,스타벅스 우장산역점,4.41,서울 강서구 강서로 267 (내발산동),['카페'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,938
70,고향닭도리탕,4.55,서울 강서구 강서로 60,['닭볶음탕'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200602_52%2F1591076819998CXNYE_JPEG%2FB1LSEw3xlzPEWmDPS9gLcYRZ.jpg,1119
71,투썸플레이스 강서화곡로점,0.0,서울 강서구 화곡로 228 대원빌딩 1층,['카페'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220829_285%2F1661750967021lyAgB_JPEG%2F20220829_095631.jpg,472
72,굽네치킨 화곡본동점,4.39,서울 강서구 까치산로 95,"['치킨', '닭강정']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250520_152%2F1747715288577QsyVv_JPEG%2F%25B3%25D7%25C0%25CC%25B9%25F6.jpg,801
73,복호두 화곡역점,0.0,서울 강서구 화곡로 143 1층 102호 복호두 화곡역점,['호두과자'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250430_9%2F1745969223930nbp1N_JPEG%2F%25BF%25C0%25BF%25F9%25C0%25C7%25BC%25B1%25B9%25B0_%25281%2529.jpg,349
74,동대문엽기떡볶이 강서구청점,4.44,서울 강서구 화곡로 292 서광프리메라,['분식'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160405_130%2F1459820822969u11Nj_JPEG%2F176355507720298_0.jpeg,1095
75,은백반,0.0,서울 강서구 강서로 145 보눔하우스 1층 101호,"['백반', '가정식']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250331_249%2F17434041876248NuFG_JPEG%2F%25BC%25AD%25C0%25E5%25C8%25C6_%25C0%25CC%25B9%25CC%25C1%25F6.jpg,267
76,니뽕내뽕 화곡역점,0.0,서울 강서구 화곡로 137 2층 202호,['중식당'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240625_152%2F1719298638595Jgmv4_JPEG%2F0.jpg,407
77,Poke all day 포케&샐러드 화곡점,0.0,서울 강서구 화곡로26가길 32 1층,"['다이어트', '샐러드']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250520_22%2F1747706090895ger0B_JPEG%2F%25BF%25C0%25C6%25AE%25B8%25F3%25B5%25E5_%25C1%25F5%25C1%25A4%25B3%25D7%25C0%25CC%25B9%25F6_%25C7%25C3%25B7%25B9%25C0%25CC%25BD%25BA.jpg,327
78,이모네빈대떡,4.6,서울 강서구 초록마을로 6-1,"['전', '빈대떡']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190118_140%2F15478097392698GHzD_JPEG%2Fyk1ireSAAYkYbaJXFAI5d71l.jpg,432
79,미스터피자 발산점,4.41,내발산동 701-9,['피자'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250423_143%2F1745381247804KoUCq_JPEG%2FSNS_%25C0%25CC%25BA%25A5%25C6%25AE.jpg,1134
80,써브웨이 화곡역점,4.39,서울 강서구 강서로 159-1 우진빌딩,['샌드위치'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200103_82%2F1578043664049aVIC6_JPEG%2FoSo1QnUl87teoesK_lCcVLN0.jpg,156
81,브라운씨 1호점,4.41,서울 강서구 강서로47가길 20-10 1층 브라운씨,['카페'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240924_110%2F1727177430845GrHgE_JPEG%2FKakaoTalk_Photo_2024-09-24-20-27-17_010.jpeg,1194
82,등촌샤브칼국수 신월점,4.32,서울 양천구 화곡로 100,"['칼국수', '만두']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200726_75%2F1595771358464xvHbl_JPEG%2FOjWkz1CMNBrVknxmgw_aMuxb.jpg,786
83,올바른스시 화곡역 직영점,4.5,서울 강서구 강서로33길 12 1층,"['초밥', '롤']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241130_267%2F1732977397912EauWQ_JPEG%2F%25C2%25CC%25B1%25EA%25C7%25D4%25B0%25FA%25BD%25C5%25BC%25B1%25C7%25D4%2528%25B0%25A1%25BF%25EE%25B5%25A5%25BB%25E7%25BD%25C3%25B9%25CC%2529%2528%25BF%25A9%25B9%25E9%25BC%25F6%25C1%25A4%2529_%25281%2529.jpg,200
84,스타벅스 화곡동점,4.45,서울 강서구 화곡로 142 (화곡동),['카페'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,377
85,틸란 쌀국수,0.0,서울 강서구 강서로31길 7 1층,['아시아음식'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240422_265%2F1713761232868WRsE1_JPEG%2FKakaoTalk_20240419_105409770_04.jpg,221
86,신고집해물찜 화곡점,4.4,서울 강서구 강서로 188 1층,"['아귀찜', '해물찜']",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161114_83%2F1479107556516GTMXb_JPEG%2F177064564256435_0.jpeg,209
87,가마솥 손두부,0.0,서울 강서구 강서로33길 64,['한식'],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210718_246%2F1626604506789e07AQ_JPEG%2FUN0Cb8h_cAnrAirb25h86zVT.jpg,448
